11;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Aa-dman-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A5o%286%2B1)7d%0D%0A;G22768VO
12;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ax-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0A10b%3Aa-dman-HEX-1%3A5%0D%0A11b%3Ax-dglc-HEX-1%3A5%0D%0A12s%3An-acetyl%0D%0A13b%3Ab-dgal-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%28-1%2B1)6d%0D%0A6%3A6o%28-1%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A9%3A5o%28-1%2B1)10d%0D%0A10%3A10o%28-1%2B1)11d%0D%0A11%3A11d%282%2B1)12n%0D%0A12%3A11o%283%2B1)13d%0D%0A;G90688JZ
13;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Aa-dman-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A5o%286%2B1)9d%0D%0AUND%0D%0AUND1%3A100.0%3A100.0%0D%0AParentIDs%3A1|3|5|6|7|9%0D%0ASubtreeLinkageID1%3Ao%28-1%2B1)d%0D%0ARES%0D%0A10b%3Ab-HEX-1%3A5%0D%0A11s%3An-acetyl%0D%0ALIN%0D%0A9%3A10d%282%2B1)11n%0D%0A;G66032DV
14;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2b%3Aa-dgal-HEX-1%3A4%0D%0A3b%3Aa-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dgal-HEX-1%3A4%0D%0ALIN%0D%0A1%3A1o%282%2B1)2d%0D%0A2%3A2o%282%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A1o%283%2B1)5d%0D%0A;G67808LV
15;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0A10s%3Asulfate%0D%0A11s%3An-acetyl%0D%0A12b%3Aa-dman-HEX-1%3A5%0D%0A13b%3Ab-dglc-HEX-1%3A5%0D%0A14s%3An-acetyl%0D%0A15b%3Ab-dgal-HEX-1%3A5%0D%0A16s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A9%3A9o%28-1%2B1)10n%0D%0A10%3A9d%282%2B1)11n%0D%0A11%3A5o%286%2B1)12d%0D%0A12%3A12o%282%2B1)13d%0D%0A13%3A13d%282%2B1)14n%0D%0A14%3A13o%284%2B1)15d%0D%0A15%3A15d%282%2B1)16n%0D%0A;G13785QH
16;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dgal-HEX-1%3A5%0D%0A6b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%283%2B1)5d%0D%0A5%3A3o%284%2B1)6d%0D%0A;G00371DJ
17;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dgal-HEX-1%3A5%0D%0A6b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%282%2B1)6d%0D%0A6%3A1o%286%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A;G90205AB
18;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dgal-HEX-1%3A5%0D%0A4b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A5s%3An-acetyl%0D%0A6b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A7s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A1o%286%2B2)4d%0D%0A4%3A4d%285%2B1)5n%0D%0A5%3A4o%288%2B2)6d%0D%0A6%3A6d%285%2B1)7n%0D%0A;G97160DA
19;;G92332SI
20;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ax-dman-HEX-1%3A5%0D%0A8b%3Aa-dman-HEX-1%3A5%0D%0A9b%3Ax-dglc-HEX-1%3A5%0D%0A10b%3Ax-dgal-HEX-1%3A5%0D%0A11b%3Ax-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A12s%3An-acetyl%0D%0A13s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283|6%2B1)6d%0D%0A6%3A6o%28-1%2B1)7d%0D%0A7%3A5o%283|6%2B1)8d%0D%0A8%3A8o%28-1%2B1)9d%0D%0A9%3A9o%28-1%2B1)10d%0D%0A10%3A10o%28-1%2B2)11d%0D%0A11%3A11d%285%2B1)12n%0D%0A12%3A9d%282%2B1)13n%0D%0A;G15683CN
